Subject Area,Presentation Table,Presentation Column,Expression - Presentation Column,Description - Presentation Column,Business Model,Derived logical table,Derived logical column,Description - Derived Logical Column,Expression,Logical Table,Logical Column,Description - Logical Column,Logical Table Source,Expression,Initialization Block,Variable,Database,Physical Catalog,Physical Schema,Physical Table,Alias,Physical Column,Description - Physical Column
OFSAA,Dim Products TL,Created By,,,OFSAA,,,,,Dim Products TL,Created By,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.CREATED_BY,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,CREATED_BY,
OFSAA,Dim Products TL,Creation Date,,,OFSAA,,,,,Dim Products TL,Creation Date,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.CREATION_DATE,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,CREATION_DATE,
OFSAA,Dim Products TL,Description,,,OFSAA,,,,,Dim Products TL,Description,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.DESCRIPTION,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,DESCRIPTION,
OFSAA,Dim Products TL,Language,,,OFSAA,,,,,Dim Products TL,Language,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.LANGUAGE,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,LANGUAGE,
OFSAA,Dim Products TL,Last Modified By,,,OFSAA,,,,,Dim Products TL,Last Modified By,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.LAST_MODIFIED_BY,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,LAST_MODIFIED_BY,
OFSAA,Dim Products TL,Last Modified Date,,,OFSAA,,,,,Dim Products TL,Last Modified Date,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.LAST_MODIFIED_DATE,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,LAST_MODIFIED_DATE,
OFSAA,Dim Products TL,Product ID,,,OFSAA,,,,,Dim Products TL,Product ID,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.PRODUCT_ID,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,PRODUCT_ID,
OFSAA,Dim Products TL,Product Name,,,OFSAA,,,,,Dim Products TL,Product Name,,DIM_PRODUCTS_TL,OFSAA."".OFSEPM.DIM_PRODUCTS_TL.PRODUCT_NAME,,,OFSAA,,OFSEPM,DIM_PRODUCTS_TL,,PRODUCT_NAME,
OFSAA,FSI_D_BORROWINGS,Avg Book Balance,,,OFSAA,,,,,Fsi D Borrowings,Avg Book Balance,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.AVG_BOOK_BAL,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,AVG_BOOK_BAL,
OFSAA,FSI_D_BORROWINGS,Transfer Credit,,,OFSAA,,,,,Fsi D Borrowings,Transfer Credit,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.CHARGE_CREDIT_TRATE,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,CHARGE_CREDIT_TRATE,
OFSAA,FSI_D_BORROWINGS,Cur Net Rate,,,OFSAA,,,,,Fsi D Borrowings,Cur Net Rate,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.CUR_NET_RATE,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,CUR_NET_RATE,
OFSAA,FSI_D_BORROWINGS,Interest Expense,,,OFSAA,,,,,Fsi D Borrowings,Interest Expense,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.INTEREST_INC_EXP,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,INTEREST_INC_EXP,
OFSAA,FSI_D_BORROWINGS,Currency,,,OFSAA,,,,,Fsi D Borrowings,Currency,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.ISO_CURRENCY_CD,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,ISO_CURRENCY_CD,
OFSAA,FSI_D_BORROWINGS,Matched Spread C,,,OFSAA,,,,,Fsi D Borrowings,Matched Spread C,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.MATCHED_SPREAD_C,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,MATCHED_SPREAD_C,
OFSAA,FSI_D_BORROWINGS,Transfer Rate,,,OFSAA,,,,,Fsi D Borrowings,Transfer Rate,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.TRANSFER_RATE,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,TRANSFER_RATE,
OFSAA,FSI_D_BORROWINGS,Interest Rate,,,OFSAA,Fsi D Borrowings,Interest Rate,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Cur Net Rate") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Cur Net Rate
OFSAA,FSI_D_BORROWINGS,Interest Rate,,,OFSAA,Fsi D Borrowings,Interest Rate,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Cur Net Rate") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Transfer Rate Calc,,,OFSAA,Fsi D Borrowings,Transfer Rate Calc,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Transfer Rate") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Transfer Rate Calc,,,OFSAA,Fsi D Borrowings,Transfer Rate Calc,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Transfer Rate") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Transfer Rate
OFSAA,FSI_D_BORROWINGS,Transfer Spread,,,OFSAA,Fsi D Borrowings,Transfer Spread,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Matched Spread C") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Matched Spread C
OFSAA,FSI_D_BORROWINGS,Transfer Spread,,,OFSAA,Fsi D Borrowings,Transfer Spread,, SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal" * OFSAA."Fsi D Borrowings"."Matched Spread C") /  SUM(OFSAA."Fsi D Borrowings"."Avg Book Bal"),Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Net Interest Income,,,OFSAA,Fsi D Borrowings,Net Interest Income,,OFSAA."Fsi D Borrowings"."Transfer Credit" - OFSAA."Fsi D Borrowings"."Interest Expense",Fsi D Borrowings,Interest Expense
OFSAA,FSI_D_BORROWINGS,Net Interest Income,,,OFSAA,Fsi D Borrowings,Net Interest Income,,OFSAA."Fsi D Borrowings"."Transfer Credit" - OFSAA."Fsi D Borrowings"."Interest Expense",Fsi D Borrowings,Transfer Credit
OFSAA,FSI_D_BORROWINGS,AvgBookBal,,,OFSAA,,,,,Fsi D Borrowings,Avg Book Bal,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.AVG_BOOK_BAL,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,AVG_BOOK_BAL,
OFSAA,FSI_D_BORROWINGS,Avg Book Balance NII,,,OFSAA,Fsi D Borrowings,Avg Book Balance NII,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Avg Book Balance NII,,,OFSAA,Fsi D Borrowings,Avg Book Balance NII,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Interest Expense NII,,,OFSAA,Fsi D Borrowings,Interest Expense NII,," SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",Fsi D Borrowings,Cur Net Rate
OFSAA,FSI_D_BORROWINGS,Interest Expense NII,,,OFSAA,Fsi D Borrowings,Interest Expense NII,," SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Interest Expense NII,,,OFSAA,Fsi D Borrowings,Interest Expense NII,," SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Interest Rate NII,,,OFSAA,Fsi D Borrowings,Interest Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
